IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
2115-49-LE20;SERVICIO DE RETIRO DE RESIDUOS CLÍNICOS;LE;Adjudicada a uno o varios proveedores;26/11/2020 18:14:09;El Centro de Referencia de Salud de Maipú llama a presentar ofertas para la licitación pública para la contratación de la adquirir los servicios de retiro, transporte y disposición final de residuos especiales y peligrosos generados en el establecimiento.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Centro de Referencia de Salud de Maipú
5520-34-LE22;Servicio de retiro traslado y disposición final de residuos peligrosos;LE;Adjudicada a uno o varios proveedores;03/05/2022 17:10:34;IDIEM licita la contratación del servicio de retiro, traslado y disposición final de residuos peligrosos, por un periodo de 24 meses o hasta la total utilización de los recursos destinados, cualquiera de las circunstancias que se verifique primero, según las características que se han definido en las presentes bases administrativas, bases técnicas y anexos.;CLP;PUBLICADO;DISPONIBLE;48.000.000;UNIVERSIDAD DE CHILE
4707-84-LE21;SERVICIO DE RETIRO, TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES PARA EL CESFAM SAN NICOLAS AÑO 2022;LE;Adjudicada a uno o varios proveedores;10/12/2021 15:35:37;Contratar servicio para retiro transporte de residuos peligrosos;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE SAN NICOLAS
3874-14-L121;SERVICIO RETIRO, TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES;L1;Adjudicada a uno o varios proveedores;07/05/2021 11:02:28;LA NECESIDAD DE CONTAR CON SERVICIO RETIRO, TRANSPORTE, ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES, VER BASES EN ADJUNTO.;CLP;PUBLICADO;DISPONIBLE;5.000.000;Ilustre Municipalidad de Rauco
3874-30-L121;SERVICIO RETIRO, TRANSPORTE Y ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES;L1;Adjudicada a uno o varios proveedores;11/08/2021 19:47:00;LA NECESIDAD DE CONTAR CON SERVICIO RETIRO, TRANSPORTE, ELIMINACIÓN DE RESIDUOS PELIGROSOS Y ESPECIALES, VER BASES EN ADJUNTO.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;I MUNICIPALIDAD DE RAUCO
1116006-5-L121;SERVICIOS DE RETIRO RESIDUOS PELIGROSOS DEL AERODROMO BALMACEDA AÑO 2021;L1;Adjudicada a uno o varios proveedores;21/09/2021 08:43:23;SERVICIOS DE RETIRO RESIDUOS PELIGROSOS DEL AERODROMO BALMACEDA Y PUERTO AYSEN AÑO 2021;CLP;PUBLICADO;DISPONIBLE;2.700.000;DIRECCION GENERAL DE AERONAUTICA CIVIL
3046-23-L123;DL-24-MM- RETIRO DE RESIDUOS PELIGROSOS ;L1;Adjudicada a uno o varios proveedores;06/06/2023 15:03:00;SERVICIO DE RETIRO, TRANSPORTE, TRATAMIENTO Y DISPOSICION FINAL DE RESIDUOS PELIGROSOS EN LA BASE AÉREA EL TEPUAL, PUERTO MONTT, REGION DE LOS LAGOS;CLP;PUBLICADO;DISPONIBLE;6.000.000;FUERZA AEREA DE CHILE COMANDO LOGISTICO
1175-225-LR22;169-22: Servicio de retiro transporte y eliminación de residuos peligrosos y especiales en establecimientos SSAS;LR;Adjudicada a uno o varios proveedores;02/11/2022 12:29:26;El SSAS requiere contratar el Servicio de retiro, transporte y eliminación de residuos peligrosos y especiales, en establecimientos SSAS.;CLP;NO PUBLICADO;ESTIMADO;Igual o superior a 5.000 UTM;SERVICIO DE SALUD ARAUCANIA SUR
874750-11-LE22;CONVENIO RESIDUOS PELIGROSOS RESPEL AÑO 2022;LE;Adjudicada a uno o varios proveedores;07/02/2022 15:21:10;RETIRO DE RESIDUOS PELIGROSOS (RESPEL) DEL HOSPITAL DE PORVENIR.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SERVICIO DE SALUD MAGALLANES
3946-14-LE21;COMPRA DE SERVICIOS DE RETIRO DE RESIDUOS PELIGROSOS PARA EL DEPARTAMENTO DE SALUD MUNICIPAL;LE;Adjudicada a uno o varios proveedores;04/02/2021 10:13:00;COMPRA DE SERVICIOS DE RETIRO DE RESIDUOS PELIGROSOS PARA EL DEPARTAMENTO DE SALUD MUNICIPAL ;CLP;PUBLICADO;DISPONIBLE;6.000.000;I MUNICIPALIDAD DE PICHIDEGUA
